;response;response_exp;cum.response;cum.response_exp;point.pred;point.pred_exp;point.pred.lower;point.pred.lower_exp;point.pred.upper;point.pred.upper_exp;cum.pred;cum.pred_exp;cum.pred.lower;cum.pred.lower_exp;cum.pred.upper;cum.pred.upper_exp;point.effect;point.effect.lower;point.effect.upper;cum.effect;cum.effect.lower;cum.effect.upper
94;3,912023005;50;377,4754809;5292;3,951375869;52,00687229;3,614543962;37,13440735;4,267967111;71,37638773;377,4754809;5223;377,4754809;3738;377,4754809;7299;-0,039352864;-0,355944105;0,297479044;0;0;0
95;4,17438727;65;381,6498681;5357;4,020054601;55,70414724;3,671016696;39,29183342;4,327131223;75,72673154;381,6498681;5279;381,6498681;3777;381,6498681;7374;0,154332669;-0,152743953;0,503370574;0;0;0
96;3,713572067;41;385,3634402;5398;3,98552153;53,81334743;3,645674145;38,3085897;4,324809707;75,55113462;385,3634402;5333;385,3634402;3815;385,3634402;7450;-0,271949463;-0,61123764;0,067897922;0;0;0
97;3,713572067;41;389,0770123;5439;3,996259347;54,39429883;3,680137464;39,65184439;4,338742394;76,61113209;389,0770123;5387;389,0770123;3855;389,0770123;7526;-0,282687281;-0,625170327;0,033434603;0;0;0
98;3,891820298;49;392,9688326;5488;3,926602461;50,7343127;3,590240061;36,24277537;4,291774234;73,09604303;392,9688326;5438;392,9688326;3891;392,9688326;7599;-0,034782163;-0,399953936;0,301580237;0;0;0
99;3,871201011;48;396,8400336;5536;4,02412959;55,93160415;3,701798383;40,52010955;4,342565292;76,9045692;396,8400336;5494;396,8400336;3932;396,8400336;7676;-0,152928579;-0,471364281;0,169402628;0;0;0
100;4,025351691;56;400,8653853;5592;4,06736095;58,40263156;3,715286061;41,07033403;4,383280361;80,10036104;400,8653853;5552;400,8653853;3973;400,8653853;7756;-0,042009259;-0,357928671;0,31006563;0;0;0
101;4,007333185;55;404,8727185;5647;4,117260043;61,39080348;3,804551757;44,90511722;4,431910737;84,09194108;404,8727185;5614;404,8727185;4018;404,8727185;7841;-0,109926858;-0,424577552;0,202781428;0;0;0
102;4,158883083;64;409,0316015;5711;3,95611719;52,25403904;3,617520504;37,24510414;4,282436335;72,4166565;409,0316015;5666;409,0316015;4055;409,0316015;7913;0,202765893;-0,123553252;0,54136258;0;0;0
103;4,317488114;75;413,3490896;5786;3,995296279;54,34193862;3,686070827;39,88781253;4,292661426;73,16092197;413,3490896;5720;413,3490896;4095;413,3490896;7986;0,322191834;0,024826688;0,631417287;0;0;0
104;4,077537444;59;417,4266271;5845;4,036797856;56,64466768;3,717420849;41,15810412;4,339387873;76,66059892;417,4266271;5777;417,4266271;4136;417,4266271;8063;0,040739588;-0,261850429;0,360116595;0;0;0
105;3,761200116;43;421,1878272;5888;4,084629549;59,41992149;3,743047461;42,22647785;4,404478329;81,81645048;421,1878272;5836;421,1878272;4178;421,1878272;8145;-0,323429433;-0,643278214;0,018152654;0;0;0
106;3,433987204;31;424,6218144;5919;3,557201021;35,0649137;3,185090414;24,16947357;3,923935268;50,59917483;424,6218144;5871;424,6218144;4202;424,6218144;8195;-0,123213816;-0,489948064;0,24889679;0;0;0
107;4,094344562;60;428,716159;5979;4,118635372;61,47529409;3,772944825;43,50799984;4,43915092;84,70299148;428,716159;5933;428,716159;4246;428,716159;8280;-0,02429081;-0,344806357;0,321399737;0;0;0
108;4,304065093;74;433,0202241;6053;4,124910461;61,86226992;3,793338752;44,40440835;4,466844786;87,08152824;433,0202241;5995;433,0202241;4290;433,0202241;8367;0,179154632;-0,162779693;0,510726342;0;0;0
109;3,912023005;50;436,9322471;6103;4,170236255;64,73074324;3,838468296;46,45426572;4,477629052;88,02572069;436,9322471;6059;436,9322471;4337;436,9322471;8455;-0,258213249;-0,565606047;0,07355471;0;0;0
110;4,430816799;84;441,3630639;6187;4,232637635;68,89872241;3,89166315;48,99230034;4,581454194;97,65630221;441,3630639;6128;441,3630639;4386;441,3630639;8553;0,198179164;-0,150637395;0,539153649;0;0;0
111;3,688879454;40;445,0519433;6227;4,030454117;56,28646609;3,72100986;41,30608642;4,33428906;76,27071574;445,0519433;6185;445,0519433;4427;445,0519433;8629;-0,341574663;-0,645409606;-0,032130406;0;0;0
112;4,094344562;60;449,1462879;6287;4,069217739;58,5111737;3,742264104;42,19341238;4,415384498;82,71363803;449,1462879;6243;449,1462879;4469;449,1462879;8712;0,025126823;-0,321039936;0,352080458;0;0;0
113;4,189654742;66;453,3359426;6353;4,025846706;56,02772774;3,708688339;40,80025529;4,370956365;79,11926242;453,3359426;6299;453,3359426;4510;453,3359426;8791;0,163808036;-0,181301623;0,480966403;0;0;0
114;4,007333185;55;457,3432758;6408;4,016586297;55,511283;3,670639921;39,27703204;4,32399843;75,4898666;457,3432758;6355;457,3432758;4549;457,3432758;8866;-0,009253112;-0,316665245;0,336693264;0;0;0
115;3,970291914;53;461,3135677;6461;4,005885361;54,92042729;3,676320388;39,50077879;4,356880536;78,01339447;461,3135677;6410;461,3135677;4589;461,3135677;8944;-0,035593448;-0,386588622;0,293971526;0;0;0
116;4,094344562;60;465,4079123;6521;4,014998184;55,42319473;3,698742178;40,39646084;4,350582034;77,52357115;465,4079123;6465;465,4079123;4629;465,4079123;9022;0,079346379;-0,256237472;0,395602384;0;0;0
117;4,127134385;62;469,5350467;6583;4,12225681;61,69832667;3,785981031;44,0788921;4,464018012;86,83571603;469,5350467;6527;469,5350467;4673;469,5350467;9109;0,004877575;-0,336883627;0,341153354;0;0;0
118;4,060443011;58;473,5954897;6641;4,051838577;57,50308374;3,716181281;41,10711748;4,390054983;80,64485297;473,5954897;6584;473,5954897;4714;473,5954897;9189;0,008604434;-0,329611973;0,344261729;0;0;0
119;4,204692619;67;477,8001823;6708;4,099765443;60,32613602;3,775723363;43,62905656;4,433497689;84,22549694;477,8001823;6645;477,8001823;4758;477,8001823;9274;0,104927176;-0,22880507;0,428969256;0;0;0
